Ta,rh,COD,th0,dsw,dni,dhi,C01,C02,C03,C04,C05,C06
243.0,0.3,0.1,30.0,935.7389756748266,769.1945651002941,269.5969418450486,8.134355702752268,11.010608013231051,7.7147540667011025,0.3987387152060841,2.4760521890481293,0.5612763529558009
258.0,0.9,0.0,15.0,1026.3170017411155,839.3652187462075,215.55245926538072,8.206334799747342,11.688044812221971,8.680759252187526,0.0378461433652129,2.798779854685552,0.6332036819902503
243.0,0.1,2.51,0.0,1009.5633864010288,88.48149566846435,921.0818907325644,13.510020431374803,20.28758126172158,10.04637478101841,0.7690157987618425,3.1955656993078145,0.7424331932540228
273.0,0.6,0.4,30.0,858.7762464786649,536.5916538531394,394.0742427831401,8.825827866559962,12.088670090038535,7.855090831503245,0.006717309225585,2.5376844826674296,0.5728974881924072
293.0,1.0,50.0,0.0,190.90380734191223,0.0203186964627138,190.88348864544952,69.30921634618312,179.11807314443467,94.7296400068678,0.0126493323356301,6.853049656431802,4.435713403095603
273.0,0.7,3.98,60.0,278.63582227400923,10.92602914786674,273.17280770007585,14.234350978153536,20.79846382038208,7.696055033618127,0.0057953769560858,2.394484894660507,0.5711871577089225
278.0,0.1,40.0,60.0,78.45224312570696,2.0693915870038366,77.41754733220502,32.740894329302215,84.42441563314746,48.87324876337743,0.3446987760999127,3.811194690701635,3.193376218333655
293.0,0.5,0.0,15.0,946.0318076404772,781.1777416366015,191.47205207151455,8.36056427197311,11.098478195233913,8.42477992640579,0.0025373017710857,2.7503027084434435,0.6158227373672103
293.0,0.9,0.1,60.0,400.4480964397378,431.1353530441564,184.8804199176596,7.410878541418141,8.441182218119987,5.005457527838022,0.0013142033713425,1.5838260511118931,0.3368698827228052
273.0,0.8,0.25,15.0,988.8094327492068,656.4372405264224,354.7397487868063,8.900477746528656,12.427887699566028,8.637581233538153,0.0048080881581622,2.859225011519766,0.6479002084145749
303.0,0.9,3.98,45.0,453.8601424186617,21.06929023592444,438.961904418052,17.096376124993625,25.22679383676812,9.944892270377755,0.0015421359268407,3.030099211463937,0.635723187510128
233.0,0.8,6.31,0.0,818.6005329021581,3.3547262372015005,815.2458066649566,21.822869752293993,34.427474155312694,12.91587240228127,0.745934997909197,3.904715417912572,0.8839395464203064
248.0,0.7,2.51,30.0,797.291565766967,98.06823027735032,712.3619870425994,13.669056348073823,20.26286921483037,9.42597696252425,0.2116074286425059,2.9514749985509106,0.6970492011891034
